--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                  | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                            
--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
 app/sections/accounts/shared/pipes/credit-card-type                                  |   92.85 |      100 |       0 |      90 |                                                                                                                                                              
  credit-card-type.module.ts                                                          |     100 |      100 |     100 |     100 |                                                                                                                                                              
  credit-card-type.pipe.ts                                                            |   83.33 |      100 |       0 |      75 | 9                                                                                                                                                            
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/accounts/shared/ui-components/confirm-deposit-popover                   |   76.19 |        0 |       0 |   72.22 |                                                                                                                                                              
  confirm-deposit-popover.component.html                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
  confirm-deposit-popover.component.ts                                                |      50 |        0 |       0 |   44.44 | 14-33                                                                                                                                                        
  confirm-deposit-popover.module.ts                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/accounts/shared/ui-components/deposit-modal                             |   84.21 |      100 |       0 |   81.25 |                                                                                                                                                              
  deposit-modal.component.html                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  deposit-modal.component.ts                                                          |    62.5 |      100 |       0 |   57.14 | 14-19                                                                                                                                                        
  deposit-modal.module.ts                                                             |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/accounts/shared/ui-components/filter                                    |   41.79 |    19.04 |   14.28 |    37.7 |                                                                                                                                                              
  date-util.ts                                                                        |   41.79 |    19.04 |   14.28 |    37.7 | 30,34,42-55,61-78,84-99,103-105                                                                                                                              
 app/sections/check-in                                                                |   76.92 |    66.66 |   66.66 |   76.92 |                                                                                                                                                              
  OrderCheckinStatus.ts                                                               |   66.66 |       50 |      50 |   66.66 | 12-18                                                                                                                                                        
  check-in-config.ts                                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/check-in/components/scan-code                                           |   42.85 |      100 |       0 |   42.85 |                                                                                                                                                              
  scan-code-content-strings.model.ts                                                  |   42.85 |      100 |       0 |   42.85 | 6-18                                                                                                                                                         
 app/sections/check-in/contents-strings                                               |   19.04 |      100 |       0 |   19.04 |                                                                                                                                                              
  check-in-content-string.model.ts                                                    |   19.04 |      100 |       0 |   19.04 | 6,12-72                                                                                                                                                      
 app/sections/check-in/services                                                       |      75 |        0 |       0 |   71.42 |                                                                                                                                                              
  check-in-process-builder.ts                                                         |      75 |        0 |       0 |   71.42 | 9-13                                                                                                                                                         
 app/sections/dashboard                                                               |   47.55 |    14.58 |   24.19 |   50.48 |                                                                                                                                                              
  dashboard.component.html                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  dashboard.component.ts                                                              |      51 |     9.67 |   34.21 |   53.95 | 85,108-116,129,139-159,180-206,219-226,268-299,311,320-339                                                                                                   
  dashboard.config.ts                                                                 |     100 |      100 |     100 |     100 |                                                                                                                                                              
  tile-config-facade.service.ts                                                       |   16.66 |        0 |       0 |   17.02 | 12-107                                                                                                                                                       
 app/sections/dashboard/components/location-disclosure                                |   54.54 |      100 |       0 |   51.21 |                                                                                                                                                              
  location-disclosure-content-string.model.ts                                         |    37.5 |      100 |       0 |    37.5 | 6-22                                                                                                                                                         
  location-disclosure.component.html                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
  location-disclosure.component.ts                                                    |   34.78 |      100 |       0 |   31.81 | 17-49                                                                                                                                                        
  location-disclosure.module.ts                                                       |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/access-card                                        |   80.82 |        0 |   57.89 |      80 |                                                                                                                                                              
  access-card.component.html                                                          |     100 |      100 |     100 |     100 |                                                                                                                                                              
  access-card.component.ts                                                            |   76.66 |        0 |   57.89 |   76.27 | 68-87,101,115-121                                                                                                                                            
  access-card.module.ts                                                               |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/access-card/services                               |   58.53 |        0 |   31.81 |    57.5 |                                                                                                                                                              
  access-card.service.ts                                                              |   58.53 |        0 |   31.81 |    57.5 | 26-30,35-36,42-44,50-52,58,64,70-80                                                                                                                          
 app/sections/dashboard/containers/conversations-tile                                 |    62.5 |        0 |       0 |   58.62 |                                                                                                                                                              
  conversations-tile.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  conversations-tile.component.ts                                                     |   33.33 |        0 |       0 |   29.41 | 15-42                                                                                                                                                        
  conversations-tile.module.ts                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/explore-tile                                       |   52.94 |        0 |       0 |   53.33 |                                                                                                                                                              
  explore-tile.component.html                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  explore-tile.component.ts                                                           |      40 |        0 |       0 |   41.66 | 25-86                                                                                                                                                        
  explore-tile.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/housing-tile                                       |     100 |      100 |     100 |     100 |                                                                                                                                                              
  housing-tile.component.ts                                                           |     100 |      100 |     100 |     100 |                                                                                                                                                              
  housing-tile.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/meal-donations-tile                                |     100 |      100 |     100 |     100 |                                                                                                                                                              
  meal-donations-tile.component.ts                                                    |     100 |      100 |     100 |     100 |                                                                                                                                                              
  meal-donations-tile.module.ts                                                       |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/mobile-access-tile                                 |   59.37 |      100 |       0 |   55.17 |                                                                                                                                                              
  mobile-access-tile.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  mobile-access-tile.component.ts                                                     |   38.09 |      100 |       0 |      35 | 18-45                                                                                                                                                        
  mobile-access-tile.module.ts                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/mobile-access-tile/services                        |   16.92 |        0 |       0 |   16.12 |                                                                                                                                                              
  mobile-access.service.ts                                                            |   16.92 |        0 |       0 |   16.12 | 18-156                                                                                                                                                       
 app/sections/dashboard/containers/rewards-tile                                       |   52.94 |        0 |       0 |   53.57 |                                                                                                                                                              
  rewards-tile.component.html                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  rewards-tile.component.ts                                                           |    23.8 |        0 |       0 |   23.52 | 16-48                                                                                                                                                        
  rewards-tile.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/rewards-tile/services                              |   51.35 |        0 |   43.75 |   53.12 |                                                                                                                                                              
  rewards.service.ts                                                                  |   51.35 |        0 |   43.75 |   53.12 | 49-80                                                                                                                                                        
 app/sections/dashboard/containers/scan-card                                          |      75 |    47.05 |   42.85 |   75.28 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  scan-card-resolver.service.ts                                                       |      75 |      100 |       0 |   71.42 | 12-15                                                                                                                                                        
  scan-card.component.html                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  scan-card.component.ts                                                              |   71.79 |    47.05 |   45.45 |   72.97 | 60,70,92,99-103,109,116-126,132-140,159-161,166-171                                                                                                          
  scan-card.routing.ts                                                                |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/tile-wrapper                                       |   83.33 |      100 |       0 |      80 |                                                                                                                                                              
  tile-wrapper.component.html                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  tile-wrapper.component.ts                                                           |    62.5 |      100 |       0 |   57.14 | 17-21                                                                                                                                                        
  tile-wrapper.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/transactions-tile                                  |   63.33 |      100 |       0 |   59.25 |                                                                                                                                                              
  transactions-tile.component.html                                                    |     100 |      100 |     100 |     100 |                                                                                                                                                              
  transactions-tile.component.ts                                                      |   31.25 |      100 |       0 |   26.66 | 13-35                                                                                                                                                        
  transactions-tile.module.ts                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/containers/transactions-tile/services                         |    19.4 |        0 |       0 |   19.67 |                                                                                                                                                              
  transaction.service.ts                                                              |    19.4 |        0 |       0 |   19.67 | 27-148                                                                                                                                                       
 app/sections/dashboard/models                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  tile-wrapper-config.model.ts                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/dashboard/services                                                      |    33.8 |        0 |    2.94 |   34.42 |                                                                                                                                                              
  accounts.service.ts                                                                 |   26.66 |        0 |       0 |      28 | 15-63                                                                                                                                                        
  android-permissions.service.ts                                                      |      75 |      100 |   33.33 |   71.42 | 13-17                                                                                                                                                        
  dashboard.service.ts                                                                |    25.8 |        0 |       0 |   25.92 | 15-66                                                                                                                                                        
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/explore                                                                 |     100 |      100 |     100 |     100 |                                                                                                                                                              
  explore.config.ts                                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/explore/services                                                        |      35 |        0 |       0 |   38.23 |                                                                                                                                                              
  explore.service.ts                                                                  |      35 |        0 |       0 |   38.23 | 20-81                                                                                                                                                        
 app/sections/guest/dashboard                                                         |   83.87 |    23.07 |   71.42 |    86.2 |                                                                                                                                                              
  guest-dashboard.component.html                                                      |     100 |      100 |     100 |     100 |                                                                                                                                                              
  guest-dashboard.component.ts                                                        |   83.33 |    23.07 |   71.42 |   85.71 | 49-51,60                                                                                                                                                     
 app/sections/guest/dashboard/model                                                   |      75 |      100 |       0 |      75 |                                                                                                                                                              
  guest-dashboard-cs.model.ts                                                         |      75 |      100 |       0 |      75 | 6                                                                                                                                                            
 app/sections/guest/deposit/model                                                     |      25 |      100 |       0 |      25 |                                                                                                                                                              
  guest-deposit-cs.model.ts                                                           |      25 |      100 |       0 |      25 | 7-39                                                                                                                                                         
 app/sections/guest/guest-deposits/components/identify-recipient                      |   18.75 |      100 |       0 |   18.75 |                                                                                                                                                              
  identity-recipient.content.string.ts                                                |   18.75 |      100 |       0 |   18.75 | 6-51                                                                                                                                                         
 app/sections/guest/model                                                             |   27.27 |      100 |       0 |   27.27 |                                                                                                                                                              
  guest-add-funds.content.strings.ts                                                  |   27.27 |      100 |       0 |   27.27 | 6-34                                                                                                                                                         
 app/sections/housing                                                                 |   25.95 |     4.54 |    2.09 |    25.9 |                                                                                                                                                              
  housing-proxy.service.ts                                                            |    32.5 |        0 |    4.54 |   32.43 | 23-110                                                                                                                                                       
  housing.config.ts                                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  housing.model.ts                                                                    |      40 |     4.34 |    4.76 |   40.54 | 62-82,102-110,122-126,138-142,155-159,172-179,185,196-200,213-217                                                                                            
  housing.service.ts                                                                  |   14.22 |        0 |       0 |   13.97 | 59-584                                                                                                                                                       
 app/sections/housing/actions                                                         |   67.85 |      100 |       0 |      64 |                                                                                                                                                              
  actions.component.html                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
  actions.component.ts                                                                |      40 |      100 |       0 |   35.71 | 16-48                                                                                                                                                        
  actions.module.ts                                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/housing/actions/actions-list                                            |     100 |       75 |     100 |     100 |                                                                                                                                                              
  actions-list.component.html                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  actions-list.component.ts                                                           |     100 |       75 |     100 |     100 | 52-54                                                                                                                                                        
 app/sections/housing/addresses                                                       |      20 |     9.09 |    9.09 |   20.54 |                                                                                                                                                              
  address.model.ts                                                                    |      44 |       40 |      50 |      44 | 44-59                                                                                                                                                        
  address.service.ts                                                                  |      10 |        0 |       0 |    8.33 | 18-104                                                                                                                                                       
 app/sections/housing/applications                                                    |   20.45 |     1.29 |    5.66 |   20.16 |                                                                                                                                                              
  applications-state.service.ts                                                       |   22.22 |        0 |    8.88 |   22.53 | 52-198,210-211,223-236                                                                                                                                       
  applications.component.html                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  applications.component.ts                                                           |     100 |      100 |     100 |     100 |                                                                                                                                                              
  applications.model.ts                                                               |   13.72 |      2.5 |    4.34 |   14.48 | 33-45,80-124,139-150,169-181,202-220,245-271,307-318,332-339,347-352,368-393,419-441                                                                         
  applications.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
  applications.service.ts                                                             |   14.89 |        0 |       0 |   14.49 | 51-402                                                                                                                                                       
 app/sections/housing/applications/application-details-popover                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  application-details-popover.component.html                                          |     100 |      100 |     100 |     100 |                                                                                                                                                              
  application-details-popover.component.ts                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/housing/applications/applications-list                                  |    90.9 |        0 |     100 |      90 |                                                                                                                                                              
  applications-list.component.html                                                    |     100 |      100 |     100 |     100 |                                                                                                                                                              
  applications-list.component.ts                                                      |      90 |        0 |     100 |   88.88 | 24                                                                                                                                                           
 app/sections/housing/attachments                                                     |   55.88 |    16.12 |    25.8 |   55.31 |                                                                                                                                                              
  attachments-state.service.ts                                                        |   51.85 |      100 |   13.33 |   52.17 | 26-62,70                                                                                                                                                     
  attachments.component.html                                                          |     100 |      100 |     100 |     100 |                                                                                                                                                              
  attachments.component.ts                                                            |   71.42 |        0 |      50 |      70 | 33,43-55                                                                                                                                                     
  attachments.model.ts                                                                |   36.58 |    17.85 |      25 |    37.5 | 22-30,47,65,69,84-88,107-114,125-128                                                                                                                         
  attachments.module.ts                                                               |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/housing/attributes                                                      |      48 |       20 |   33.33 |      48 |                                                                                                                                                              
  attributes.model.ts                                                                 |      48 |       20 |   33.33 |      48 | 17-29,35-43                                                                                                                                                  
 app/sections/housing/charge-schedules                                                |   33.33 |    10.52 |      10 |   30.61 |                                                                                                                                                              
  charge-schedules.model.ts                                                           |   41.37 |       20 |   33.33 |   41.37 | 28-35,63-75                                                                                                                                                  
  charge-schedules.service.ts                                                         |   22.72 |        0 |       0 |      15 | 18-57                                                                                                                                                        
 app/sections/housing/check-in-out                                                    |   55.76 |        0 |      20 |   52.17 |                                                                                                                                                              
  check-in-out-state.service.ts                                                       |   63.63 |      100 |      20 |   55.55 | 14-26                                                                                                                                                        
  check-in-out.component.html                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  check-in-out.component.ts                                                           |     100 |      100 |     100 |     100 |                                                                                                                                                              
  check-in-out.model.ts                                                               |   17.39 |        0 |       0 |   18.18 | 23-34,49-54,68-74                                                                                                                                            
  check-in-out.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/housing/check-in-out/check-in-out-items                                 |   73.68 |        0 |   33.33 |   76.47 |                                                                                                                                                              
  check-in-out-items.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  check-in-out-items.component.ts                                                     |   72.22 |        0 |   33.33 |      75 | 33-38                                                                                                                                                        
 app/sections/housing/contract-list                                                   |      80 |        0 |   57.14 |   77.27 |                                                                                                                                                              
  contract-list-items.component.html                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
  contract-list-items.component.ts                                                    |   93.33 |        0 |     100 |   92.85 | 25                                                                                                                                                           
  contract-list-state.service.ts                                                      |      75 |      100 |   33.33 |   66.66 | 13-17                                                                                                                                                        
