--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                  | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                            
--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
 app/core/service/content-service                                                     |   33.33 |        0 |   14.28 |   30.43 |                                                                                                                                                              
  content-strings-api.service.ts                                                      |   33.33 |        0 |   14.28 |   30.43 | 24-52                                                                                                                                                        
 app/core/service/coords                                                              |   38.63 |        0 |    8.33 |   39.02 |                                                                                                                                                              
  coords.service.ts                                                                   |   38.63 |        0 |    8.33 |   39.02 | 41-99                                                                                                                                                        
 app/core/service/external-payment                                                    |   18.75 |        0 |       0 |   17.94 |                                                                                                                                                              
  external-payment.service.ts                                                         |   18.75 |        0 |       0 |   17.94 | 23-197                                                                                                                                                       
 app/core/service/identity                                                            |   58.67 |    40.25 |    40.2 |   60.76 |                                                                                                                                                              
  model.identity.ts                                                                   |   70.58 |       75 |   30.76 |   70.58 | 57-83                                                                                                                                                        
  pin-authentication.ts                                                               |   22.72 |        0 |    6.66 |      25 | 19-84                                                                                                                                                        
  vault-factory.service.ts                                                            |   77.55 |       65 |   61.11 |   84.44 | 27,36-45,92,125,128,143                                                                                                                                      
  vault.identity.service.ts                                                           |   60.41 |    27.27 |   45.09 |   60.99 | 49,56,64-67,71-75,144-155,175-181,192,200-208,234-248,295-305,316-370                                                                                        
 app/core/service/institution-api                                                     |   20.51 |        0 |    7.69 |   18.91 |                                                                                                                                                              
  institution-api.service.ts                                                          |   20.51 |        0 |    7.69 |   18.91 | 19-83                                                                                                                                                        
 app/core/service/loading                                                             |    62.5 |       50 |      50 |   60.86 |                                                                                                                                                              
  loading.service.ts                                                                  |    62.5 |       50 |      50 |   60.86 | 45-55,64-69                                                                                                                                                  
 app/core/service/merchant-api-service                                                |   29.72 |        0 |    7.69 |   25.71 |                                                                                                                                                              
  merchant-api.service.ts                                                             |   29.72 |        0 |    7.69 |   25.71 | 23-76                                                                                                                                                        
 app/core/service/modals                                                              |      25 |        0 |      10 |   19.23 |                                                                                                                                                              
  modals.service.ts                                                                   |      25 |        0 |      10 |   19.23 | 13-50                                                                                                                                                        
 app/core/service/native-startup-api                                                  |      50 |      100 |       0 |   44.44 |                                                                                                                                                              
  native-startup-api.service.ts                                                       |      50 |      100 |       0 |   44.44 | 12-23                                                                                                                                                        
 app/core/service/rewards                                                             |   33.33 |        0 |       0 |   30.76 |                                                                                                                                                              
  rewards-api.service.ts                                                              |   33.33 |        0 |       0 |   30.76 | 18-63                                                                                                                                                        
 app/core/service/screen-brightness                                                   |      50 |        0 |       0 |   57.14 |                                                                                                                                                              
  screen-brightness.service.ts                                                        |      50 |        0 |       0 |   57.14 | 9-17                                                                                                                                                         
 app/core/service/secure-messaging                                                    |   47.05 |      100 |    12.5 |   43.75 |                                                                                                                                                              
  secure-messaging-api.service.ts                                                     |   47.05 |      100 |    12.5 |   43.75 | 21-89                                                                                                                                                        
 app/core/service/settings-api-service                                                |   45.94 |        0 |   23.07 |   45.71 |                                                                                                                                                              
  settings-api.service.ts                                                             |   45.94 |        0 |   23.07 |   45.71 | 26-53,59,62,66-88                                                                                                                                            
 app/core/service/toast                                                               |   31.57 |        0 |   16.66 |   27.77 |                                                                                                                                                              
  toast.service.ts                                                                    |   31.57 |        0 |   16.66 |   27.77 | 23-72                                                                                                                                                        
 app/core/service/user-api                                                            |   18.86 |        0 |    8.33 |      18 |                                                                                                                                                              
  user-api.service.ts                                                                 |   18.86 |        0 |    8.33 |      18 | 26-149                                                                                                                                                       
 app/core/states/content-strings                                                      |      35 |     5.88 |   18.75 |   35.29 |                                                                                                                                                              
  content-strings-state.service.ts                                                    |      35 |     5.88 |   18.75 |   35.29 | 20,29-76                                                                                                                                                     
 app/core/states/merchant                                                             |    40.9 |        0 |   16.66 |      45 |                                                                                                                                                              
  merchant-state.service.ts                                                           |    40.9 |        0 |   16.66 |      45 | 17-38                                                                                                                                                        
 app/core/states/settings                                                             |   40.47 |     7.69 |   28.57 |   38.88 |                                                                                                                                                              
  settings-state.service.ts                                                           |   40.47 |     7.69 |   28.57 |   38.88 | 27-77                                                                                                                                                        
 app/core/states/storage                                                              |   76.47 |    65.51 |   68.96 |   82.05 |                                                                                                                                                              
  storage-state.service.ts                                                            |   76.47 |    65.51 |   68.96 |   82.05 | 77,83,107,116-127,152-156,165                                                                                                                                
 app/core/states/user-settings                                                        |    37.5 |    14.28 |   23.07 |    37.5 |                                                                                                                                                              
  user-settings-state.service.ts                                                      |    37.5 |    14.28 |   23.07 |    37.5 | 22-69                                                                                                                                                        
 app/core/utils                                                                       |   42.22 |     7.95 |    9.58 |   39.33 |                                                                                                                                                              
  address-helper.ts                                                                   |   66.66 |        0 |       0 |      50 | 4,11                                                                                                                                                         
  buttons.config.ts                                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  colors-helper.ts                                                                    |   39.13 |      100 |       0 |   38.09 | 6-12,16,20-24,28,36                                                                                                                                          
  conversations-helper.ts                                                             |   17.64 |        0 |       0 |   11.29 | 15,22,30-34,49-116,123-150,156-175                                                                                                                           
  date-helper.ts                                                                      |   39.65 |        0 |       0 |   30.95 | 14-34,38-54,58-61,74-77,84-91,95                                                                                                                             
  general-helpers.ts                                                                  |   31.86 |     4.95 |       5 |   27.65 | 24-25,30-31,35-38,42-46,50,54,58-61,65-69,76-105,111-116,120,124-127,133,137,141,145,149-162,168-170,174-186,192-197,202,206-216,220-235,239-241,247-248,257 
  platform-helper.ts                                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
  platform.enum.ts                                                                    |     100 |      100 |     100 |     100 |                                                                                                                                                              
  regexp-patterns.ts                                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
  settings-helper.ts                                                                  |      80 |    33.33 |      50 |      90 | 12                                                                                                                                                           
 app/non-authorized                                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  non-authorized.config.ts                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/non-authorized/pages/entry                                                       |   66.66 |       50 |      40 |    64.7 |                                                                                                                                                              
  entry.page.html                                                                     |     100 |      100 |     100 |     100 |                                                                                                                                                              
  entry.page.ts                                                                       |   65.71 |       50 |      40 |   63.63 | 35-42,48-49,63-68                                                                                                                                            
 app/non-authorized/pages/forgot-password/models                                      |      30 |      100 |       0 |      30 |                                                                                                                                                              
  forgot-password-content-strings.model.ts                                            |      30 |      100 |       0 |      30 | 6-29                                                                                                                                                         
 app/non-authorized/pages/pre-login/models                                            |   27.27 |        0 |       0 |   27.27 |                                                                                                                                                              
  prelogin-content-strings.model.ts                                                   |   27.27 |        0 |       0 |   27.27 | 6-25                                                                                                                                                         
